OBJECTID,geoid,ZONE_CODE,COUNT,AREA,MEAN
1,17031291600,1,2198,219800,84.29156665
2,17031580200,2,7289,728900,84.61842854
3,17031590500,3,5954,595400,84.04968452
4,17031590700,4,8801,880100,84.66468246
5,17031610400,5,1600,160000,84.63310074
6,17031843800,6,13098,1309800,84.03233416
7,17031400400,7,3266,326600,82.88493184
8,17031410500,8,2633,263300,82.02879821
9,17031421200,9,3254,325400,84.4618316
10,17031834400,10,5869,586900,83.36844572
11,17031612100,11,3254,325400,82.97866726
12,17031611000,12,5705,570500,83.5263603
13,17031030104,13,1105,110500,79.12845797
14,17031010501,14,2015,201500,80.31250117
15,17031020100,15,4098,409800,81.14766827
16,17031640100,16,3072,307200,84.81447059
17,17031560700,17,6607,660700,84.89072438
18,17031170900,18,3210,321000,83.95649918
19,17031180100,19,10712,1071200,84.19489224
20,17031252000,20,6233,623300,83.91921783
21,17031252201,21,3847,384700,84.8716789
22,17031381700,22,1961,196100,83.86897267
23,17031380700,23,2424,242400,83.88548367
24,17031330200,24,7899,789900,84.00713257
25,17031340500,25,4345,434500,84.16017361
26,17031390300,26,3289,328900,83.33673437
27,17031390400,27,3257,325700,82.58137971
28,17031410100,28,2290,229000,82.50238447
29,17031240200,29,1647,164700,84.18532622
30,17031832600,30,7201,720100,84.09567802
31,17031241200,31,3279,327900,84.03499777
32,17031070600,32,3437,343700,84.09262622
33,17031160502,33,3102,310200,84.13141711
34,17031200401,34,4030,403000,84.39715457
35,17031220701,35,2676,267600,84.46811683
36,17031730600,36,10084,1008400,84.23116937
37,17031260700,37,3290,329000,83.99423122
38,17031291200,38,3278,327800,84.05542096
39,17031841600,39,1583,158300,84.60466811
40,17031841500,40,4310,431000,83.58822843
41,17031030703,41,1970,197000,83.12515975
42,17031030800,42,5664,566400,82.56597054
43,17031030701,43,698,69800,82.23801802
44,17031030702,44,219,21900,80.95229556
45,17031190100,45,3151,315100,84.3509716
46,17031200100,46,5850,585000,84.10669516
47,17031040600,47,3318,331800,83.23917471
48,17031830800,48,3356,335600,83.54295832
49,17031160700,49,7896,789600,84.09140921
50,17031062400,50,1616,161600,84.23252356
51,17031760802,51,61595,6159500,83.01842899
52,17031490901,52,8446,844600,83.85010425
53,17031260400,53,3288,328800,84.043755
54,17031282800,54,1635,163500,84.60088421
55,17031020701,55,5888,588800,83.03057841
56,17031061200,56,1738,173800,84.35275454
57,17031310500,57,1617,161700,84.40805709
58,17031560200,58,6544,654400,83.81493881
59,17031100400,59,9704,970400,83.94294533
60,17031980000,60,190501,19050100,83.23647157
61,17031671900,61,3205,320500,84.59916915
62,17031710100,62,2170,217000,84.67636094
63,17031691300,63,6478,647800,84.77671794
64,17031071600,64,1601,160100,82.77821968
65,17031460400,65,6499,649900,83.79063425
66,17031460500,66,12781,1278100,84.26290972
67,17031480300,67,4152,415200,84.25401284
68,17031081900,68,1381,138100,84.0719427
69,17031431302,69,4368,436800,83.76312465
70,17031241100,70,3315,331500,84.08086521
71,17031243300,71,3269,326900,84.39741896
72,17031490400,72,2384,238400,84.30786993
73,17031500300,73,7106,710600,83.89488546
74,17031242700,74,1756,175600,84.09829275
75,17031839800,75,2678,267800,84.19972021
76,17031842600,76,36767,3676700,84.51357721
77,17031300700,77,3269,326900,84.99924977
78,17031840700,78,5407,540700,84.60080092
79,17031841700,79,2660,266000,84.62960994
80,17031843100,80,10150,1015000,83.04199037
81,17031840800,81,3285,328500,84.41382846
82,17031300800,82,3280,328000,84.82679506
83,17031300900,83,3270,327000,84.72706397
84,17031301600,84,3303,330300,84.589956
85,17031590600,85,3483,348300,84.78681105
86,17031301100,86,2109,210900,84.65139383
87,17031301200,87,4816,481600,84.54615724
88,17031570100,88,15243,1524300,84.79884114
89,17031580300,89,4720,472000,84.6314707
90,17031830500,90,40974,4097400,84.23110414
91,17031841300,91,14134,1413400,84.42813662
92,17031843500,92,20317,2031700,84.03178433
93,17031840400,93,9992,999200,84.7202586
94,17031580700,94,5517,551700,84.5185885
95,17031580100,95,7613,761300,84.69525751
96,17031610300,96,23820,2382000,84.36949763
97,17031580502,97,4941,494100,84.69801173
98,17031839700,98,6308,630800,84.38073631
99,17031840300,99,8329,832900,84.73060978
100,17031611500,100,4852,485200,84.59571213
101,17031580400,101,13135,1313500,84.7961493
102,17031580600,102,4915,491500,84.786819
103,17031580800,103,1822,182200,84.57473673
104,17031580501,104,4922,492200,84.74520387
105,17031834600,105,15615,1561500,84.34081752
106,17031630100,106,5087,508700,84.74627945
107,17031611700,107,3270,327000,84.04325605
108,17031611200,108,3272,327200,84.36877873
109,17031611400,109,3278,327800,84.42805494
110,17031611800,110,3275,327500,84.0203954
111,17031611300,111,3271,327100,84.61431172
112,17031670300,112,3271,327100,84.00180215
113,17031611900,113,6527,652700,83.75634721
114,17031611600,114,3172,317200,84.44630192
115,17031670100,115,3274,327400,84.10857591
116,17031670400,116,3260,326000,84.47023862
117,17031670200,117,3254,325400,84.00828004
118,17031670500,118,6208,620800,84.62143378
119,17031680500,119,3265,326500,83.90529625
120,17031834700,120,6579,657900,83.93337365
121,17031835100,121,10043,1004300,84.89395817
122,17031630400,122,6580,658000,84.78434203
123,17031630800,123,6553,655300,85.26914861
124,17031660302,124,4910,491000,85.03059568
125,17031660400,125,6454,645400,84.77652674
126,17031835000,126,10013,1001300,85.01936305
127,17031660900,127,19695,1969500,83.82511378
128,17031660700,128,4820,482000,84.6312772
129,17031660301,129,1634,163400,85.16606128
130,17031660600,130,6561,656100,85.16372113
131,17031671100,131,2470,247000,84.05170553
132,17031660800,132,6575,657500,85.05799073
133,17031661000,133,11196,1119600,84.83203973
134,17031671400,134,4959,495900,84.33940292
135,17031420500,135,2442,244200,83.30659231
136,17031671500,136,7425,742500,84.26318676
137,17031670800,137,3243,324300,84.246761
138,17031680600,138,3254,325400,83.80113137
139,17031834900,139,6520,652000,83.48509758
140,17031671200,140,2430,243000,84.30605042
141,17031670600,141,3269,326900,84.09836248
142,17031670700,142,3267,326700,84.07492238
143,17031671300,143,4830,483000,84.25583241
144,17031671600,144,4072,407200,84.16523909
145,17031681000,145,6526,652600,83.92746495
146,17031681100,146,6513,651300,84.11501857
147,17031670900,147,3274,327400,84.11273638
148,17031834800,148,5995,599500,83.97589649
149,17031680900,149,10327,1032700,84.17121826
150,17031842800,150,15167,1516700,84.48349056
151,17031630200,151,6358,635800,84.44045492
152,17031611100,152,3263,326300,84.05434864
153,17031630500,153,6562,656200,84.71105154
154,17031420600,154,2443,244300,83.47663744
155,17031390600,155,3210,321000,82.29826004
156,17031836100,156,8619,861900,82.93335621
157,17031400500,157,3264,326400,83.74200367
158,17031400800,158,4929,492900,84.07740052
159,17031351500,159,1674,167400,83.70178817
160,17031400300,160,14630,1463000,82.60275402
161,17031836200,161,8122,812200,82.73675544
162,17031834500,162,4641,464100,84.22801061
163,17031842500,163,10727,1072700,84.5460599
164,17031420300,164,2421,242100,83.50240573
165,17031420200,165,2800,280000,83.01951257
166,17031420400,166,2457,245700,83.23959055
167,17031411100,167,2812,281200,82.51061815
168,17031411200,168,4034,403400,82.42503577
169,17031420100,169,7711,771100,83.19440628
170,17031420700,170,6499,649900,83.9900255
171,17031690500,171,3230,323000,84.90832783
172,17031420800,172,3465,346500,83.77230116
173,17031690300,173,5333,533300,84.53566591
174,17031841800,174,16417,1641700,83.7553409
175,17031690400,175,6507,650700,84.51195921
176,17031380500,176,1895,189500,83.78682011
177,17031843900,177,14879,1487900,82.9132633
178,17031612000,178,3256,325600,83.62736586
179,17031010202,179,3526,352600,80.9026845
180,17031830600,180,6612,661200,81.40987576
181,17031010502,181,1811,181100,79.97021978
182,17031010100,182,3737,373700,79.78375741
183,17031010201,183,5037,503700,80.61024431
184,17031010300,184,4713,471300,79.95741219
185,17031010400,185,5433,543300,79.20100056
186,17031010503,186,1934,193400,80.68071622
187,17031010600,187,4943,494300,80.54877023
188,17031010701,188,4291,429100,80.71590584
189,17031010702,189,3566,356600,81.03038965
190,17031660500,190,6582,658200,84.66326569
191,17031020400,191,5542,554200,81.54222167
192,17031020500,192,7713,771300,80.89653244
193,17031030200,193,6646,664600,80.71383314
194,17031351100,194,3479,347900,83.23808905
195,17031020200,195,12407,1240700,82.80819273
196,17031560800,196,13220,1322000,84.91420005
197,17031630300,197,9849,984900,84.62711457
198,17031560900,198,13115,1311500,84.35839767
199,17031561100,199,13205,1320500,84.84331068
200,17031630900,200,6595,659500,84.97877025
201,17031570500,201,4228,422800,85.04019153
202,17031620200,202,5730,573000,85.02701968
203,17031620300,203,9924,992400,84.64395802
204,17031640300,204,13237,1323700,85.04446355
205,17031640400,205,13345,1334500,84.26192706
206,17031620400,206,6559,655900,84.9438306
207,17031650200,207,9909,990900,85.19383297
208,17031835200,208,9891,989100,84.86162149
209,17031561000,209,13275,1327500,84.57319536
210,17031980100,210,29786,2978600,83.87539769
211,17031570300,211,9789,978900,84.85346563
212,17031620100,212,8363,836300,84.35703068
213,17031650100,213,6725,672500,84.94250378
214,17031640700,214,6524,652400,84.70404162
215,17031650301,215,9877,987700,85.09592209
216,17031390500,216,3290,329000,82.76643123
217,17031640500,217,6552,655200,84.63981315
218,17031640600,218,6526,652600,84.76136415
219,17031650302,219,6624,662400,84.94527508
220,17031081401,220,2801,280100,80.64213347
221,17031170800,221,7274,727400,84.03245002
222,17031171000,222,13921,1392100,84.22911447
223,17031839200,223,6502,650200,83.71035356
224,17031831500,224,9584,958400,83.92971487
225,17031250500,225,20590,2059000,83.97915403
226,17031839500,226,2615,261500,83.50325169
227,17031831600,227,14872,1487200,84.1111893
228,17031250300,228,6178,617800,84.35003096
229,17031191302,229,6333,633300,84.7069237
230,17031191200,230,7039,703900,84.17813994
231,17031191301,231,6757,675700,84.45887246
232,17031250400,232,13061,1306100,84.33046782
233,17031250700,233,6594,659400,84.57888205
234,17031251900,234,6321,632100,84.23174933
235,17031250600,235,6461,646100,84.7280239
236,17031251200,236,6610,661000,84.50913001
