X,Y,OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME
-9586870.5441,4465432.0473,1,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{D7E15AD5-62DC-4B2D-912D-932F48A0987F},212,MACA,Mammoth Cave National Park,2023/07/18 11:20:24+00,KY,SE,507318,National Park,Lands,Mammoth Cave
-12020027.556,4134871.0271,2,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{0929C498-2222-4DBA-8BC5-C79EC377D498},325,ELMA,El Malpais National Monument,2023/09/14 11:22:35+00,NM,IM,1888913,National Monument,Lands,El Malpais
16221921.0684,1713993.1228,3,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{FE726414-13B4-4A62-B4E2-1A07EFD74257},,AMME,American Memorial Park,2015/04/22 00:00:00+00,MP,PW,1879026,Park,Lands,
-8532565.9474,4496726.9465,4,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{08916056-C46D-4B5D-9DDD-E2E9D02930DC},,CAJO,Captain John Smith Chesapeake National Historic Trail,2017/11/17 00:00:00+00,MD,NE,1879026,National Historic Trail,Lands,
-7909848.4708,5217059.1725,5,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{21863B5A-1864-4CC0-8D55-1882047C84D2},1,BOST,Boston National Historical Park,2015/02/09 00:00:00+00,MA,NE,600140,National Historical Park,Lands,Boston
-8205822.8507,5216309.9812,6,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{0D751C01-A5DA-49FD-8BB3-D3784D503648},2,MAVA,Martin Van Buren National Historic Site,2012/07/18 00:00:00+00,NY,NE,1888943,National Historic Site,Lands,Martin Van Buren
-8079686.6608,5177226.1732,7,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{9FAC033F-458E-4F0D-8CA6-A02BA5FDF756},3,SPAR,Springfield Armory National Historic Site,2011/10/18 00:00:00+00,MA,NE,1888963,National Historic Site,Lands,Springfield Armory
-7597050.3779,5517888.4079,8,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{61D0FE4C-2DC3-433B-8086-8709585507E7},4,ACAD,Acadia National Park,2013/12/18 00:00:00+00,ME,NE,578853,National Park,Park,Acadia
-7473278.3492,5641806.6864,9,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{E684E8E2-6EB2-40A2-AD63-066CE752DCD8},5,SACR,Saint Croix Island International Historic Site,2016/06/20 00:00:00+00,ME,NE,581971,International Historic Site,Lands,Saint Croix Island
-7904999.4732,5199485.239,10,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{4404F3C4-0543-4EB0-861E-4D94505C6347},6,ADAM,Adams National Historical Park,2009/06/05 00:00:00+00,MA,NE,1888899,National Historical Park,Lands,Adams
-7917401.8428,5213092.3684,11,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{96A25583-3A25-4497-83AF-99F4CC1412FB},7,JOFI,John Fitzgerald Kennedy National Historic Site,2010/10/28 00:00:00+00,MA,NE,607138,National Historic Site,Lands,John F Kennedy
-7937071.5828,5229368.2461,12,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{A9704664-D59D-43E5-A8DD-657FB23463CA},8,MIMA,Minute Man National Historical Park,2018/02/22 00:00:00+00,MA,NE,600051,National Historical Park,Lands,Minute Man
-7890955.5098,5239068.4681,13,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{66F3FE64-2A78-4BD4-95F6-121621EFC299},9,SAMA,Salem Maritime National Historic Site,2010/03/25 00:00:00+00,MA,NE,1888961,National Historic Site,Lands,Salem Maritime
-7904547.668,5231420.0875,14,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{9B444B47-7AB8-4802-B312-ABA4287538F2},10,SAIR,Saugus Iron Works National Historic Site,2014/06/09 00:00:00+00,MA,NE,600017,National Historic Site,Lands,Saugus Iron Works
-7802083.4003,5168518.3692,15,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{CD65BCF6-F995-4F4F-9B3E-E3E874F2B022},11,CACO,Cape Cod National Seashore,2016/03/24 00:00:00+00,MA,NE,606900,National Seashore,Lands,Cape Cod
-8226578.1659,5125601.5713,16,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{9EABB25A-9641-4659-AE7E-F5B7C661191B},12,ELRO,Eleanor Roosevelt National Historic Site,2011/04/22 00:00:00+00,NY,NE,1888914,National Historic Site,Lands,Eleanor Roosevelt
-7917751.8257,5217620.7099,17,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{736AED95-F176-4A2C-B452-C8C019A7B9F9},13,LONG,Longfellow House-Washington's Headquarters National Historic Site,2011/04/18 00:00:00+00,MA,NE,2733437,National Historic Site,Lands,Longfellow
-8221741.9839,4953290.4943,18,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{EB29A43E-51E5-41EC-B8F9-26CC5C44C845},15,GATE,Gateway National Recreation Area,2015/12/31 00:00:00+00,NJ,NE,882894,National Recreation Area,Lands,Gateway
-8218234.8226,4996531.5553,19,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{B2C53ECF-4619-4E4F-A5E6-FAAC4858E176},16,SAPA,Saint Paul's Church National Historic Site,2007/02/09 00:00:00+00,NY,NE,1888959,National Historic Site,Lands,Saint Paul's Church
-8780052.0293,5296989.4027,20,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{FEB9E7BC-C2D3-40B1-A333-8A4A9B0863BE},17,THRI,Theodore Roosevelt Inaugural National Historic Site,2015/08/28 00:00:00+00,NY,NE,2035603,National Historic Site,Lands,Theodore Roosevelt Inaugural
-8399659.3841,5344093.1868,21,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{51E2B3AA-04C2-418D-BAEC-223CCE2A5402},18,FOST,Fort Stanwix National Monument,2010/07/08 00:00:00+00,NY,NE,1888919,National Monument,Lands,Fort Stanwix
-8122564.6413,4968655.3231,22,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{1861CE81-D937-41DF-AA97-3A3BCF515AE6},19,FIIS,Fire Island National Seashore,2013/12/18 00:00:00+00,NY,NE,970121,National Seashore,Lands,Fire Island
-8229362.1169,5125821.1688,23,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{0591CF79-82A2-4FE0-8995-F7A57268875A},20,HOFR,Home of Franklin D. Roosevelt National Historic Site,2006/03/07 00:00:00+00,NY,NE,1888929,National Historic Site,Lands,Home of Franklin D Roosevelt
-8231166.7138,5130702.106,24,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{1EF64673-491D-4A57-9045-F04B5F11854E},21,VAMA,Vanderbilt Mansion National Historic Site,2015/07/24 00:00:00+00,NY,NE,968452,National Historic Site,Lands,Vanderbilt Mansion
-8196403.1614,5310744.3504,25,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{07656E2A-5895-4229-9300-A39BB5857A3E},22,SARA,Saratoga National Historical Park,2021/03/23 00:00:00+00,NY,NE,964487,National Historical Park,Lands,Saratoga
-8056563.0697,5388460.5558,26,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{A8B7480A-52A5-440A-A80E-63ACE6FF6D4B},23,SAGA,Saint-Gaudens National Historical Park,2011/03/09 00:00:00+00,NH,NE,1888960,National Historical Park,Lands,Saint-Gaudens
