OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,SHAPE_Length,SHAPE_Area
1,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{62F2391A-0A6E-4ACE-8062-3B6DEDB97819},212,MACA,Lands - http://landsnet.nps.gov/tractsnet/documents/MACA/Metadata/maca_metadata.xml,Mammoth Cave National Park,2023/07/18 11:20:24+00,KY,SE,507318,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048014,Mammoth Cave,129647.168991578,457441502.408888
2,2023/10/13 12:14:24+00,NPS_WASO_LANDS,2023/10/13 12:14:24+00,NPS_WASO_LANDS,{82DBCAF6-1A3C-43CC-BB67-EA523DD815FA},325,ELMA,Lands - http://landsnet.nps.gov/tractsnet/documents/ELMA/Metadata/elma_metadata.xml,El Malpais National Monument,2023/09/14 11:22:35+00,NM,IM,1888913,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239599,El Malpais,253481.897310578,-684640802.424563
3,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{12B0EBF2-494B-4EBE-900C-2F81FFBF062F},,AMME,Unofficial Boundary of American Memorial Park.,American Memorial Park,2015/04/22 00:00:00+00,MP,PW,1879026,Park,Lands,Preliminary data. Contact the Land Resources Program for additional information.,,7740.97383790558,611358.430556304
4,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{5CEC5282-BC7F-4016-826C-E59C580E57BA},,CAJO,Unofficial Boundary of Captain John Smith Chesapeake National Historic Trail.,Captain John Smith Chesapeake National Historic Trail,2017/11/17 00:00:00+00,MD,NE,1879026,National Historic Trail,Lands,Preliminary data. Contact the Land Resources Program for additional information.,,9135.95967230758,1692916.37129966
5,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{A8EFEE82-DBF9-445B-A3CA-E3FA7EA095C4},1,BOST,Lands - http://landsnet.nps.gov/tractsnet/documents/BOST/Metadata/bost_metadata.xml,Boston National Historical Park,2015/02/09 00:00:00+00,MA,NE,600140,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221816,Boston,7018.5607701382,325688.165998331
6,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{CBF0E616-929F-4846-A93A-A06A6BE02B0F},2,MAVA,Lands - http://landsnet.nps.gov/tractsnet/documents/MAVA/Metadata/mava_metadata.xml,Martin Van Buren National Historic Site,2012/07/18 00:00:00+00,NY,NE,1888943,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188828,Martin Van Buren,11384.9702511987,2202209.61402605
7,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{2DC6E2EF-8721-45C4-BC7B-F4F56151EC1C},3,SPAR,Lands - http://landsnet.nps.gov/tractsnet/documents/SPAR/Metadata/spar_metadata.xml,Springfield Armory National Historic Site,2011/10/18 00:00:00+00,MA,NE,1888963,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180629,Springfield Armory,2507.49256607132,396708.946642827
8,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{DEDF5B2A-4C94-480C-B367-D88BE470595D},4,ACAD,Unofficial Boundary of Acadia National Park.,Acadia National Park,2013/12/18 00:00:00+00,ME,NE,578853,National Park,Park,Preliminary data. Contact the Land Resources Program for additional information.,Acadia,541137.318066783,274779310.818508
9,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{6D8DAF28-6787-4FC7-9E6A-1840680F4D48},5,SACR,Lands - http://landsnet.nps.gov/tractsnet/documents/SACR/Metadata/sacr_metadata.xml,Saint Croix Island International Historic Site,2016/06/20 00:00:00+00,ME,NE,581971,International Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230262,Saint Croix Island,987.300011783059,54060.7289578572
10,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{A45524C1-1F15-4BB8-9A4D-41D8D57A755F},6,ADAM,Lands - http://landsnet.nps.gov/tractsnet/documents/ADAM/Metadata/adam_metadata.xml,Adams National Historical Park,2009/06/05 00:00:00+00,MA,NE,1888899,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048140,Adams,2163.81488530874,100799.851989345
11,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{23330B9E-F6AB-49CB-89BB-96CA6BACF56F},7,JOFI,Lands - http://landsnet.nps.gov/tractsnet/documents/JOFI/Metadata/jofi_metadata.xml,John Fitzgerald Kennedy National Historic Site,2010/10/28 00:00:00+00,MA,NE,607138,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171834,John F Kennedy,104.182277426202,644.639845812889
12,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{6AD864B2-C6C7-4C40-B312-EACE5363F6D1},8,MIMA,Lands - http://landsnet.nps.gov/tractsnet/documents/MIMA/Metadata/mima_metadata.xml,Minute Man National Historical Park,2018/02/22 00:00:00+00,MA,NE,600051,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2167740,Minute Man,36417.1256415073,7614108.74646694
13,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{A811227C-B6B3-478B-A1BF-1B3F96311E78},9,SAMA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAMA/Metadata/sama_metadata.xml,Salem Maritime National Historic Site,2010/03/25 00:00:00+00,MA,NE,1888961,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1049237,Salem Maritime,3446.50944258188,70391.6053794402
14,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{87D69D48-67D2-425D-85C2-EA70DB4B5881},10,SAIR,Lands - http://landsnet.nps.gov/tractsnet/documents/SAIR/Metadata/sair_metadata.xml,Saugus Iron Works National Historic Site,2014/06/09 00:00:00+00,MA,NE,600017,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210711,Saugus Iron Works,2038.4528735016,94291.5233206717
15,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{C8420AFD-36DC-4CE6-A250-8A36769A3A5F},11,CACO,Lands - http://landsnet.nps.gov/tractsnet/documents/CACO/Metadata/caco_metadata.xml,Cape Cod National Seashore,2016/03/24 00:00:00+00,MA,NE,606900,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229062,Cape Cod,261994.390347413,324147362.438692
16,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{B8D412A9-EE1C-4495-A26F-7A8E7D64F2E3},12,ELRO,Lands - http://landsnet.nps.gov/tractsnet/documents/ELRO/Metadata/elro_metadata.xml,Eleanor Roosevelt National Historic Site,2011/04/22 00:00:00+00,NY,NE,1888914,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171829,Eleanor Roosevelt,5804.85030141976,1291438.34728183
17,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{E91E7A9E-F54A-4F39-9758-34994184AE27},13,LONG,Lands - http://landsnet.nps.gov/tractsnet/documents/LONG/Metadata/long_metadata.xml,Longfellow House-Washington's Headquarters National Historic Site,2011/04/18 00:00:00+00,MA,NE,2733437,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180626,Longfellow,488.006767951491,14414.0067431454
18,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{518A82AA-88FA-49F5-AD40-1A3A099A711F},15,GATE,Lands - http://landsnet.nps.gov/tractsnet/documents/GATE/Metadata/gate_metadata.xml,Gateway National Recreation Area,2015/12/31 00:00:00+00,NJ,NE,882894,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225694,Gateway,146371.440565888,190685391.199376
19,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{D4C967BA-EF46-4FDE-BF1B-01A51EBF84B9},16,SAPA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAPA/Metadata/sapa_metadata.xml,Saint Paul's Church National Historic Site,2007/02/09 00:00:00+00,NY,NE,1888959,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048042,Saint Paul's Church,866.346505661578,43929.1967522087
20,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{9D129C10-E7D2-4AF5-A34C-8BEDB5B64699},17,THRI,Lands - http://landsnet.nps.gov/tractsnet/documents/THRI/Metadata/thri_metadata.xml,Theodore Roosevelt Inaugural National Historic Site,2015/08/28 00:00:00+00,NY,NE,2035603,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224527,Theodore Roosevelt Inaugural,431.649729196901,8874.4484265805
21,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{BB64D8CC-4358-475D-9414-6DFC1DCC82BB},18,FOST,Lands - http://landsnet.nps.gov/tractsnet/documents/FOST/Metadata/fost_metadata.xml,Fort Stanwix National Monument,2010/07/08 00:00:00+00,NY,NE,1888919,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165601,Fort Stanwix,1435.74019758755,127551.029551123
22,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{9CB67F3F-F3F7-48C2-9F52-D9291A37CEA9},19,FIIS,Unofficial Boundary of Fire Island National Seashore.,Fire Island National Seashore,2013/12/18 00:00:00+00,NY,NE,970121,National Seashore,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Fire Island,140263.573378074,138877039.096375
23,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{2F2ED6DD-867B-46FC-A1F7-7FED9C2D3FC9},20,HOFR,Lands - http://landsnet.nps.gov/tractsnet/documents/HOFR/Metadata/hofr_metadata.xml,Home of Franklin D. Roosevelt National Historic Site,2006/03/07 00:00:00+00,NY,NE,1888929,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047983,Home of Franklin D Roosevelt,19536.1432849485,6542741.7277879
24,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{00A9BBF5-8293-49C2-85A7-09D43A44E509},21,VAMA,Lands - http://landsnet.nps.gov/tractsnet/documents/VAMA/Metadata/vama_metadata.xml,Vanderbilt Mansion National Historic Site,2015/07/24 00:00:00+00,NY,NE,968452,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224528,Vanderbilt Mansion,8133.1144305161,1534826.24550613
25,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{73447E01-670A-4F09-A032-4BB5B0710072},22,SARA,Lands - http://landsnet.nps.gov/tractsnet/documents/SARA/Metadata/sara_metadata.xml,Saratoga National Historical Park,2021/03/23 00:00:00+00,NY,NE,964487,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215979,Saratoga,38311.5145956948,26899681.603125
26,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{4A1A1599-53E2-4735-AE40-561FEE8F025C},23,SAGA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAGA/Metadata/saga_metadata.xml,Saint-Gaudens National Historical Park,2011/03/09 00:00:00+00,NH,NE,1888960,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171112,Saint-Gaudens,13228.9794194975,1449351.99017465
27,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{F7CD9BD6-2F60-4DEA-8257-94C653A8B8BB},24,STLI,Lands - http://landsnet.nps.gov/tractsnet/documents/STLI/Metadata/stli_metadata.xml,Statue of Liberty National Monument,2016/05/06 00:00:00+00,NJ,NE,880864,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230266,Statue Of Liberty,4452.45628817951,486582.465136086
28,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{0EF9676C-2894-49E4-8294-8967103D676C},25,EDIS,Lands - http://landsnet.nps.gov/tractsnet/documents/EDIS/Metadata/edis_metadata.xml,Thomas Edison National Historical Park,2008/04/22 00:00:00+00,NJ,NE,874901,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048152,Thomas Edison,2565.21877758081,147844.265782115
29,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{2455DDEC-3A7E-42DE-ABC6-3692CD0DFBDF},26,MORR,Lands - http://landsnet.nps.gov/tractsnet/documents/MORR/Metadata/morr_metadata.xml,Morristown National Historical Park,2012/02/23 00:00:00+00,NJ,NE,878495,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188829,Morristown,35698.864349582,11942535.1342989
