OBJECTID,geoid,ZONE_CODE,COUNT,AREA,MEAN_HEAT_INDEX
1,17031291600,1,2198,219800,88.92535449
2,17031580200,2,7289,728900,89.32954971
3,17031590500,3,5954,595400,89.21798595
4,17031590700,4,8801,880100,89.64649449
5,17031610400,5,1600,160000,89.35918287
6,17031843800,6,13098,1309800,89.0703793
7,17031400400,7,3266,326600,86.90852776
8,17031410500,8,2633,263300,85.77801351
9,17031421200,9,3254,325400,89.38758655
10,17031834400,10,5869,586900,87.79956403
11,17031612100,11,3254,325400,87.88537301
12,17031611000,12,5705,570500,87.80448908
13,17031030104,13,1105,110500,81.94471654
14,17031010501,14,2015,201500,83.56937541
15,17031020100,15,4098,409800,84.48467707
16,17031640100,16,3072,307200,89.65909181
17,17031560700,17,6607,660700,89.80959558
18,17031170900,18,3210,321000,88.96348277
19,17031180100,19,10712,1071200,89.17704696
20,17031252000,20,6233,623300,88.24096995
21,17031252201,21,3847,384700,90.02706691
22,17031381700,22,1961,196100,88.40138878
23,17031380700,23,2424,242400,88.65928777
24,17031330200,24,7899,789900,88.7362802
25,17031340500,25,4345,434500,88.637805
26,17031390300,26,3289,328900,87.7626125
27,17031390400,27,3257,325700,86.3985048
28,17031410100,28,2290,229000,86.68318406
29,17031240200,29,1647,164700,88.72489265
30,17031832600,30,7201,720100,88.63386533
31,17031241200,31,3279,327900,88.58306467
32,17031070600,32,3437,343700,88.61413322
33,17031160502,33,3102,310200,88.32060619
34,17031200401,34,4030,403000,88.97663599
35,17031220701,35,2676,267600,89.03358567
36,17031730600,36,10084,1008400,90.49023181
37,17031260700,37,3290,329000,88.75592574
38,17031291200,38,3278,327800,88.57308337
39,17031841600,39,1583,158300,89.22483792
40,17031841500,40,4310,431000,88.05203195
41,17031030703,41,1970,197000,87.43570279
42,17031030800,42,5664,566400,86.61110639
43,17031030701,43,698,69800,86.12720176
44,17031030702,44,219,21900,84.64142152
45,17031190100,45,3151,315100,88.7222129
46,17031200100,46,5850,585000,88.68569353
47,17031040600,47,3318,331800,87.29287401
48,17031830800,48,3356,335600,87.8076115
49,17031160700,49,7896,789600,88.65810198
50,17031062400,50,1616,161600,88.86508911
51,17031760802,51,61595,6159500,87.78214146
52,17031490901,52,8446,844600,89.15287739
53,17031260400,53,3288,328800,88.58270151
54,17031282800,54,1635,163500,89.06803306
55,17031020701,55,5888,588800,87.21844556
56,17031061200,56,1738,173800,88.69319376
57,17031310500,57,1617,161700,88.73930447
58,17031560200,58,6544,654400,88.51059743
59,17031100400,59,9704,970400,89.16988223
60,17031980000,60,190501,19050100,87.9040232
61,17031671900,61,3205,320500,90.37512895
62,17031710100,62,2170,217000,89.61232447
63,17031691300,63,6478,647800,89.98849094
64,17031071600,64,1601,160100,86.9628455
65,17031460400,65,6499,649900,88.80578667
66,17031460500,66,12781,1278100,89.43021758
67,17031480300,67,4152,415200,89.52499931
68,17031081900,68,1381,138100,88.52862248
69,17031431302,69,4368,436800,88.09059048
70,17031241100,70,3315,331500,88.49107541
71,17031243300,71,3269,326900,88.85666597
72,17031490400,72,2384,238400,89.80468272
73,17031500300,73,7106,710600,89.16641145
74,17031242700,74,1756,175600,88.45421783
75,17031839800,75,2678,267800,88.51904044
76,17031842600,76,36767,3676700,89.33032953
77,17031300700,77,3269,326900,89.79982838
78,17031840700,78,5407,540700,89.44574728
79,17031841700,79,2660,266000,89.37519031
80,17031843100,80,10150,1015000,87.39326728
81,17031840800,81,3285,328500,88.85006018
82,17031300800,82,3280,328000,89.82840614
83,17031300900,83,3270,327000,89.44584431
84,17031301600,84,3303,330300,89.22374776
85,17031590600,85,3483,348300,89.54535864
86,17031301100,86,2109,210900,89.38475954
87,17031301200,87,4816,481600,89.32595585
88,17031570100,88,15243,1524300,89.72434419
89,17031580300,89,4720,472000,89.26055657
90,17031830500,90,40974,4097400,88.7141476
91,17031841300,91,14134,1413400,88.97364236
